               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.017037,            0.013081,                   0,             0.98472,                   1,             0.99485,             0.68916,            0.023141,            0.021926,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.019647,            0.013922,                   0,             0.97727,             0.99999,             0.99453,             0.70438,            0.021644,            0.021224,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.019879,            0.013728,                   0,             0.99219,             0.98429,             0.99469,             0.72418,            0.020528,            0.020872,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,             0.01906,            0.013992,                   0,                   1,             0.97674,             0.99447,             0.68945,             0.02285,            0.021223,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.018376,            0.013301,                   0,             0.99209,             0.97674,             0.99423,             0.68956,              0.0224,            0.021463,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.019705,            0.014306,                   0,             0.98461,             0.99219,             0.99454,             0.73354,            0.020033,            0.021118,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.017846,            0.013072,                   0,             0.99207,              0.9845,             0.99462,             0.71344,            0.021484,            0.020316,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016943,            0.013653,                   0,             0.98461,             0.99221,             0.99477,             0.74255,            0.020289,            0.020169,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.016711,            0.013502,                   0,             0.99997,             0.97674,             0.99433,             0.73287,            0.020263,            0.020129,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.018823,            0.014321,                   0,                   1,             0.97673,             0.99454,             0.72673,            0.020557,            0.020032,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.017506,            0.013392,                   0,             0.99995,              0.9845,             0.99477,             0.74814,            0.019538,            0.019143,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016808,            0.012552,                   0,             0.99992,              0.9845,             0.99485,             0.74656,            0.020927,            0.019295,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.015739,            0.014025,                   0,                   1,             0.98447,             0.99428,             0.74361,            0.020868,            0.019235,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.017019,            0.013528,                   0,                   1,             0.98441,             0.99434,             0.74405,            0.020196,            0.019782,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016659,            0.013083,                   0,                   1,             0.98448,             0.99455,             0.75195,            0.019953,            0.019641,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.015695,            0.012287,                   0,             0.99998,             0.97674,             0.99432,             0.72249,            0.021948,            0.020692,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.015614,            0.013211,                   0,             0.99999,             0.97674,             0.99412,             0.73805,            0.020755,            0.020594,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.017321,            0.013568,                   0,             0.99998,              0.9845,             0.99434,             0.75702,             0.01979,            0.020356,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.016899,            0.013523,                   0,             0.99219,             0.98447,             0.99323,             0.72495,            0.021526,            0.020398,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.015031,            0.013098,                   0,             0.99998,             0.97674,             0.99325,             0.73294,             0.02045,            0.020152,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.014889,            0.012385,                   0,             0.99999,             0.97674,             0.99361,             0.74394,            0.019646,             0.02012,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,             0.01625,            0.012724,                   0,                   1,             0.98449,             0.99455,             0.74043,            0.020546,            0.020759,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.016764,            0.013109,                   0,             0.99994,              0.9845,             0.99477,             0.73951,            0.020131,            0.020654,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.015781,            0.013506,                   0,                   1,             0.98446,              0.9947,             0.72755,            0.020883,            0.020466,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.016766,            0.012785,                   0,             0.99216,              0.9845,             0.99447,             0.70515,             0.02212,            0.021205,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.019029,            0.014612,                   0,             0.99994,              0.9845,             0.99477,             0.72248,            0.020765,            0.021364,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.017448,            0.013562,                   0,             0.99998,              0.9845,              0.9947,             0.72414,            0.021787,            0.021406,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,            0.015019,            0.012434,                   0,                   1,             0.98448,             0.99455,             0.73223,            0.020773,            0.020939,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.014752,            0.013342,                   0,             0.99218,              0.9845,             0.99426,             0.73876,            0.019926,            0.020585,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.014885,            0.012274,                   0,             0.99216,              0.9845,             0.99406,             0.74819,            0.019635,            0.020402,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.014938,            0.012584,                   0,             0.99219,             0.98447,             0.99406,             0.75389,            0.019794,            0.020363,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.014656,            0.012171,                   0,             0.99998,             0.97674,             0.99425,             0.74814,            0.019503,            0.020691,                   0,            0.004936,            0.004936,            0.004936
                 164,            0.014262,            0.011879,                   0,                   1,             0.97674,             0.99382,             0.75157,            0.018852,             0.02024,                   0,           0.0048893,           0.0048893,           0.0048893
                 165,            0.014751,            0.013039,                   0,             0.99999,             0.97674,             0.99382,             0.74862,            0.019579,            0.020388,                   0,           0.0048426,           0.0048426,           0.0048426
                 166,            0.015523,            0.013379,                   0,                   1,             0.97674,             0.99417,             0.73391,            0.019884,            0.020384,                   0,            0.004796,            0.004796,            0.004796
